workerId,cond,group,valence,s1_color,valrating,arrating,exprating,IES,RT,correct
15704,exp,CG,neg,red,10,69,91,341.9,342,1
15704,exp,CG,neg,red,10,69,94,341.9,342,1
15704,val_arr,CG,neg,red,44,58,94,341.9,342,1
15704,exp,CG,neg,red,44,58,93,341.9,342,1
15704,exp,CG,neu,blue,44,58,6,341.9,342,1
15704,exp,CG,neu,blue,44,58,4,341.9,342,1
15704,exp,CG,neg,blue,44,58,7,341.9,342,1
15704,val_arr,CG,neu,blue,58,55,7,341.9,342,1
15704,val_arr,CG,neu,blue,60,57,7,341.9,342,1
15704,exp,CG,neg,blue,60,57,31,341.9,342,1
15704,exp,CG,neg,blue,60,57,63,341.9,342,1
15704,exp,CG,neu,blue,60,57,72,341.9,342,1
15704,val_arr,CG,neu,red,58,33,72,341.9,342,1
15704,val_arr,CG,neg,red,13,46,72,341.9,342,1
15704,val_arr,CG,neu,blue,80,29,72,341.9,342,1
15704,val_arr,CG,neg,red,47,44,72,341.9,342,1
15704,val_arr,CG,neg,red,4,70,72,341.9,342,1
15704,val_arr,CG,neg,red,37,57,72,341.9,342,1
15704,val_arr,CG,neg,red,43,38,72,341.9,342,1
15704,val_arr,CG,neu,blue,95,15,72,341.9,342,1
15704,exp,CG,neu,blue,95,15,52,341.9,342,1
15704,exp,CG,neg,red,95,15,61,341.9,342,1
15704,exp,CG,neg,red,95,15,65,341.9,342,1
15704,val_arr,CG,neu,blue,55,44,65,341.9,342,1
15704,exp,CG,neg,red,55,44,68,341.9,342,1
